iter	Passed	Remaining
0	114	85444
1	225	84495
2	226	56519
3	336	62820
4	435	64947
5	541	67163
6	648	68798
7	748	69405
8	858	70680
9	962	71198
10	1067	71687
11	1170	71956
12	1275	72338
13	1381	72637
14	1434	70286
15	1539	70609
16	1544	66589
17	1644	66886
18	1758	67660
19	1862	67982
20	1966	68252
21	2074	68634
22	2179	68894
23	2288	69236
24	2393	69404
25	2418	67334
26	2472	66204
27	2580	66532
28	2684	66731
29	2792	67014
30	2889	67016
31	3001	67342
32	3109	67554
33	3213	67679
34	3321	67847
35	3427	67969
36	3529	68020
37	3634	68098
38	3738	68156
39	3838	68140
40	3942	68168
41	4051	68304
42	4152	68281
43	4264	68432
44	4371	68491
45	4477	68531
46	4583	68555
47	4692	68624
48	4795	68599
49	4900	68611
50	4913	67339
51	5022	67411
52	5128	67438
53	5235	67477
54	5341	67493
55	5448	67526
56	5554	67535
57	5659	67521
58	5764	67516
59	5870	67508
60	5972	67462
61	6080	67474
62	6187	67475
63	6295	67482
64	6398	67429
65	6506	67432
66	6617	67457
67	6725	67452
68	6831	67419
69	6936	67380
70	7042	67354
71	7150	67331
72	7256	67293
73	7358	67223
74	7462	67163
75	7564	67086
76	7667	67016
77	7771	66957
78	7878	66919
79	7980	66832
80	8084	66774
81	8190	66725
82	8297	66681
83	8400	66600
84	8504	66533
85	8610	66484
86	8715	66418
87	8816	66320
88	8922	66270
89	9030	66224
90	9135	66157
91	9239	66080
92	9344	66015
93	9451	65957
94	9556	65888
95	9663	65833
96	9674	65130
97	9781	65074
98	9881	64979
99	9992	64949
100	10098	64890
101	10206	64841
102	10315	64796
103	10421	64735
104	10526	64661
105	10633	64601
106	10742	64553
107	10847	64479
108	10954	64422
109	11061	64357
110	11170	64304
111	11282	64269
112	11387	64190
113	11489	64100
114	11591	64005
115	11698	63935
116	11805	63872
117	11912	63802
118	12015	63712
119	12115	63608
120	12221	63529
121	12323	63436
122	12429	63362
123	12530	63257
124	12641	63206
125	12743	63108
126	12848	63027
127	12951	62935
128	13053	62840
129	13167	62799
130	13270	62706
131	13378	62633
132	13486	62564
133	13591	62481
134	13697	62398
135	13802	62313
136	13909	62236
137	13935	61802
138	14044	61733
139	14148	61647
140	14250	61548
141	14359	61481
142	14464	61399
143	14568	61309
144	14674	61228
145	14778	61138
146	14886	61063
147	14992	60983
148	15098	60899
149	15207	60831
150	15312	60741
151	15415	60648
152	15524	60576
153	15628	60484
154	15733	60395
155	15835	60297
156	15941	60213
157	16046	60122
158	16155	60048
159	16260	59959
160	16363	59865
161	16470	59780
162	16571	59677
163	16680	59601
164	16786	59515
165	16889	59417
166	16992	59320
167	17093	59218
168	17199	59128
169	17299	59021
170	17408	58945
171	17507	58832
172	17613	58746
173	17722	58669
174	17831	58587
175	17940	58510
176	18051	58437
177	18166	58377
178	18269	58279
179	18376	58192
180	18479	58093
181	18579	57983
182	18694	57922
183	18705	57539
184	18811	57451
185	18916	57360
186	19024	57276
187	19126	57175
188	19234	57093
189	19339	56999
190	19443	56906
191	19548	56812
192	19657	56731
193	19761	56635
194	19870	56553
195	19972	56452
196	20080	56368
197	20181	56263
198	20285	56167
199	20392	56078
200	20495	55979
201	20598	55881
202	20705	55793
203	20806	55689
204	20912	55596
205	21019	55507
206	21123	55410
207	21230	55320
208	21334	55224
209	21441	55136
210	21549	55047
211	21655	54956
212	21760	54861
213	21866	54769
214	21970	54671
215	22076	54577
216	22180	54479
217	22282	54376
218	22387	54282
219	22491	54184
220	22597	54090
221	22707	54007
222	22817	53922
223	22924	53832
224	23031	53740
225	23136	53643
226	23242	53550
227	23347	53453
228	23454	53361
229	23559	53265
230	23663	53166
231	23769	53071
232	23870	52964
233	23972	52862
234	24074	52759
235	24177	52656
236	24278	52551
237	24383	52454
238	24489	52359
239	24597	52270
240	24697	52162
241	24803	52066
242	24906	51965
243	24958	51757
244	25068	51672
245	25172	51573
246	25276	51473
247	25384	51382
248	25492	51292
249	25542	51084
250	25647	50987
251	25752	50892
252	25800	50683
253	25908	50593
254	26014	50497
255	26121	50406
256	26227	50311
257	26331	50213
258	26441	50126
259	26548	50033
260	26658	49945
261	26766	49855
262	26790	49608
263	26898	49518
264	26951	49326
265	27056	49230
266	27167	49146
267	27266	49039
268	27375	48950
269	27481	48855
270	27586	48759
271	27691	48663
272	27795	48565
273	27898	48465
274	28002	48368
275	28013	48110
276	28117	48012
277	28220	47914
278	28327	47821
279	28434	47730
280	28537	47630
281	28644	47538
282	28749	47441
283	28854	47345
284	28960	47250
285	29066	47157
286	29171	47060
287	29278	46968
288	29385	46873
289	29490	46777
290	29594	46680
291	29700	46585
292	29805	46488
293	29908	46388
294	30014	46294
295	30114	46188
296	30220	46093
297	30325	45997
298	30431	45901
299	30538	45808
300	30646	45715
301	30754	45622
302	30863	45531
303	30968	45433
304	31074	45338
305	31180	45241
306	31286	45146
307	31389	45045
308	31494	44949
309	31598	44849
310	31706	44755
311	31826	44680
312	31936	44588
313	32039	44488
314	32145	44391
315	32248	44290
316	32350	44188
317	32451	44085
318	32560	43992
319	32666	43895
320	32772	43798
321	32874	43696
322	32988	43610
323	33093	43511
324	33117	43307
325	33217	43203
326	33329	43113
327	33433	43014
328	33534	42912
329	33641	42816
330	33744	42715
331	33851	42620
332	33958	42524
333	34062	42425
334	34169	42328
335	34278	42235
336	34383	42138
337	34483	42032
338	34587	41933
339	34691	41834
340	34795	41734
341	34903	41639
342	35009	41541
343	35110	41438
344	35210	41334
345	35327	41250
346	35429	41147
347	35530	41043
348	35638	40948
349	35740	40846
350	35847	40749
351	35952	40650
352	36055	40550
353	36164	40455
354	36267	40354
355	36372	40254
356	36479	40157
357	36585	40059
358	36690	39960
359	36794	39860
360	36900	39762
361	37001	39659
362	37106	39559
363	37212	39461
364	37316	39361
365	37421	39261
366	37525	39161
367	37632	39064
368	37739	38966
369	37844	38867
370	37950	38768
371	38055	38669
372	38162	38571
373	38268	38473
374	38375	38375
375	38478	38273
376	38585	38176
377	38693	38078
378	38795	37976
379	38820	37798
380	38928	37702
381	39038	37608
382	39152	37516
383	39176	37340
384	39282	37241
385	39387	37142
386	39492	37043
387	39596	36942
388	39697	36840
389	39802	36740
390	39904	36639
391	40007	36537
392	40115	36440
393	40220	36341
394	40326	36243
395	40430	36142
396	40536	36044
397	40541	35855
398	40651	35761
399	40758	35663
400	40868	35568
401	40968	35465
402	41075	35367
403	41178	35266
404	41283	35167
405	41387	35067
406	41487	34963
407	41592	34864
408	41699	34766
409	41802	34665
410	41907	34565
411	42012	34466
412	42119	34368
413	42225	34270
414	42332	34171
415	42436	34071
416	42540	33971
417	42545	33792
418	42652	33694
419	42758	33595
420	42864	33497
421	42967	33396
422	43071	33296
423	43175	33196
424	43282	33098
425	43386	32998
426	43490	32897
427	43596	32799
428	43704	32701
429	43805	32599
430	43912	32501
431	44016	32400
432	44119	32299
433	44221	32198
434	44325	32097
435	44430	31997
436	44533	31896
437	44636	31795
438	44741	31695
439	44849	31598
440	44955	31499
441	45060	31399
442	45162	31297
443	45268	31198
444	45373	31098
445	45481	31000
446	45586	30901
447	45689	30799
448	45795	30700
449	45900	30600
450	46007	30501
451	46118	30405
452	46224	30306
453	46330	30206
454	46435	30106
455	46546	30010
456	46653	29911
457	46757	29810
458	46861	29709
459	46963	29607
460	47069	29508
461	47178	29409
462	47284	29310
463	47385	29207
464	47487	29105
465	47590	29003
466	47697	28904
467	47807	28806
468	47911	28706
469	48020	28607
470	48134	28512
471	48241	28413
472	48345	28312
473	48450	28211
474	48554	28110
475	48660	28010
476	48764	27909
477	48867	27807
478	48973	27707
479	49080	27607
480	49185	27507
481	49292	27407
482	49400	27308
483	49503	27206
484	49608	27105
485	49715	27006
486	49820	26905
487	49929	26806
488	50036	26706
489	50137	26603
490	50242	26502
491	50348	26402
492	50452	26301
493	50562	26202
494	50668	26102
495	50775	26001
496	50884	25903
497	50988	25801
498	51099	25703
499	51203	25601
500	51307	25500
501	51415	25400
502	51519	25298
503	51620	25195
504	51722	25092
505	51828	24992
506	51931	24890
507	52037	24789
508	52142	24688
509	52249	24587
510	52355	24487
511	52459	24385
512	52564	24284
513	52669	24182
514	52775	24081
515	52880	23980
516	52986	23879
517	53091	23778
518	53195	23676
519	53297	23574
520	53399	23471
521	53506	23370
522	53610	23268
523	53716	23167
524	53823	23067
525	53922	22963
526	54033	22864
527	54139	22762
528	54238	22659
529	54348	22559
530	54452	22457
531	54556	22355
532	54662	22254
533	54766	22152
534	54872	22051
535	54981	21951
536	55083	21848
537	55110	21716
538	55216	21615
539	55322	21514
540	55425	21411
541	55531	21310
542	55630	21207
543	55737	21106
544	55843	21005
545	55947	20903
546	56055	20803
547	56158	20700
548	56268	20601
549	56370	20498
550	56473	20395
551	56574	20293
552	56678	20190
553	56782	20089
554	56881	19985
555	56992	19885
556	57096	19783
557	57206	19684
558	57311	19582
559	57417	19480
560	57524	19379
561	57627	19277
562	57734	19176
563	57839	19074
564	57941	18972
565	58043	18869
566	58149	18767
567	58251	18665
568	58361	18564
569	58464	18462
570	58568	18360
571	58674	18258
572	58781	18157
573	58884	18055
574	58980	17950
575	59090	17850
576	59201	17750
577	59304	17647
578	59409	17545
579	59512	17443
580	59610	17339
581	59727	17240
582	59828	17137
583	59934	17036
584	60041	16934
585	60144	16832
586	60248	16730
587	60355	16628
588	60463	16527
589	60566	16424
590	60672	16323
591	60777	16221
592	60884	16119
593	60990	16017
594	61095	15915
595	61200	15813
596	61301	15710
597	61409	15609
598	61514	15506
599	61620	15405
600	61727	15303
601	61835	15202
602	61939	15099
603	62040	14996
604	62142	14893
605	62247	14791
606	62358	14690
607	62461	14588
608	62570	14486
609	62674	14384
610	62780	14282
611	62888	14180
612	62991	14078
613	63046	13964
614	63151	13862
615	63257	13760
616	63362	13658
617	63464	13555
618	63572	13453
619	63675	13351
620	63779	13248
621	63884	13146
622	63988	13044
623	64093	12941
624	64195	12839
625	64305	12737
626	64410	12635
627	64516	12533
628	64614	12429
629	64719	12327
630	64828	12226
631	64934	12123
632	65040	12021
633	65142	11918
634	65246	11816
635	65351	11714
636	65453	11610
637	65558	11508
638	65655	11404
639	65761	11302
640	65872	11201
641	65978	11099
642	66089	10997
643	66194	10895
644	66298	10792
645	66437	10695
646	66546	10594
647	66654	10491
648	66758	10389
649	66859	10286
650	66967	10183
651	67070	10081
652	67180	9979
653	67283	9876
654	67389	9774
655	67496	9671
656	67602	9569
657	67706	9466
658	67808	9363
659	67914	9261
660	68020	9158
661	68122	9055
662	68224	8952
663	68328	8849
664	68431	8746
665	68538	8644
666	68642	8541
667	68748	8439
668	68850	8336
669	68959	8233
670	69065	8131
671	69171	8028
672	69278	7926
673	69382	7823
674	69491	7721
675	69599	7618
676	69708	7516
677	69812	7413
678	69917	7310
679	70024	7208
680	70127	7105
681	70236	7003
682	70338	6899
683	70447	6797
684	70549	6694
685	70657	6591
686	70765	6489
687	70874	6386
688	70979	6284
689	71088	6181
690	71195	6078
691	71301	5976
692	71405	5873
693	71510	5770
694	71614	5667
695	71720	5564
696	71827	5461
697	71926	5358
698	72036	5255
699	72140	5152
700	72245	5050
701	72350	4947
702	72454	4844
703	72567	4741
704	72671	4638
705	72778	4535
706	72883	4432
707	72992	4330
708	73097	4227
709	73200	4123
710	73307	4021
711	73413	3918
712	73519	3815
713	73630	3712
714	73732	3609
715	73837	3506
716	73942	3403
717	74045	3300
718	74151	3197
719	74258	3094
720	74368	2991
721	74473	2888
722	74583	2785
723	74688	2682
724	74795	2579
725	74900	2476
726	75004	2372
727	75112	2269
728	75220	2166
729	75326	2063
730	75432	1960
731	75537	1857
732	75640	1754
733	75748	1651
734	75850	1547
735	75949	1444
736	76055	1341
737	76164	1238
738	76270	1135
739	76376	1032
740	76481	928
741	76584	825
742	76689	722
743	76795	619
744	76900	516
745	77009	412
746	77114	309
747	77218	206
748	77323	103
749	77428	0
